id,category,skills
0,CONSULTANT,"['debugging', 'sentry', 'support', 'knowledge management', 'data analysis', 'system integration', 'asp net', 'scripting language', 'high availability', 'ranking', 'computer network', 'box', 'vmware vsphere', 'web server', 'centos', 'security', 'material', 'data extraction', 'database', 'complex system', 'adder', 'schedule', 'perl', 'relational database', 'data system', 'library', 'encryption', 'engineering', 'chef', 'data center', 'data management', 'scalability', 'wireless', 'diagram', 'fedora', 'marketing', 'functional testing', 'certificate authority', 'tower', 'relay', 'queue', 'ubuntu', 'front end', 'deployment', 'certificate', 'linux', 'router', 'release', 'android', 'skype', 'response time', 'project management', 'network management', 'parsing', 'medium', 'business administration', 'server', 'software', 'testing', 'information management', 'business process', 'operating system', 'advertising', 'wireless network', 'analytics', 'oracle', 'data model', 'google', 'network performance', 'performance monitoring', 'virtual machine', 'mysql', 'financial system', 'system testing', 'computer hardware', 'specification', 'segment', 'business', 'design', 'web service', 'finance', 'user profile', 'help desk', 'storm', 'accounting', 'mobile', 'documentation', 'workflow', 'monitoring']"
1,CHEF,"['accounting', 'project management', 'marketing', 'collaboration', 'database', 'chef', 'business', 'support', 'certificate', 'schedule']"
2,BANKING,"['task management', 'support', 'certificate', 'commerce', 'electronic data interchange', 'tracking system', 'data system', 'release', 'security', 'swift', 'financial system', 'interaction', 'database', 'business', 'design', 'monitoring', 'finance', 'business process', 'accounting', 'project management', 'marketing', 'medium', 'business administration', 'documentation', 'visual basic', 'workflow', 'software', 'data integrity', 'testing', 'schedule', 'data processing']"
3,CONSTRUCTION,"['component', 'support', 'deployment', 'advertising', 'certificate', 'civil engineering', 'workload', 'engineering', 'ranking', 'box', 'adobe photoshop', 'pile', 'security', 'passenger', 'construction engineering', 'material', 'specification', 'segment', 'business', 'knowledge base', 'design', 'scaffold', 'schedule', 'finance', 'resource allocation', 'sketch', 'storm', 'project management', 'accounting', 'marketing', 'medium', 'documentation', 'server', 'software', 'testing', 'prolog', 'mechanical engineering', 'monitoring', 'tower']"
4,APPAREL,"['framework', 'support', 'advertising', 'commerce', 'workload', 'release', 'engineering', 'shrinkage', 'marathon', 'box', 'scanner', 'fabric', 'security', 'passenger', 'material', 'database', 'business', 'design', 'schedule', 'tableau', 'project management', 'marketing', 'documentation', 'software', 'testing', 'monitoring']"
5,DESIGNER,"['devise', 'multimedia', 'time constraint', 'support', 'front end', 'advertising', 'certificate', 'commerce', 'graphic design', 'big data', 'adobe illustrator', 'library', 'workload', 'computer network', 'box', 'google', 'adobe photoshop', 'performance monitoring', 'security', 'collaboration', 'material', 'specification', 'wordpress', 'database', 'business', 'syntax', 'design', 'finance', 'material design', 'sketch', 'markup language', 'sorting', 'wix', 'accounting', 'publishing', 'marketing', 'medium', 'mobile', 'visualization', 'documentation', 'software', 'workflow', 'pixel', 'dropbox', 'computer science', 'schedule']"
6,TEACHER,"['queue', 'support', 'certificate', 'library', 'adobe photoshop', 'security', 'comprehension', 'collaboration', 'material', 'interaction', 'segment', 'play', 'database', 'business', 'knowledge base', 'design', 'monitoring', 'finance', 'business process', 'accounting', 'emotion', 'marketing', 'medium', 'business administration', 'software', 'testing', 'buffer', 'schedule']"
7,BUSINESS-DEVELOPMENT,"['devise', 'component', 'support', 'advertising', 'certificate', 'analytics', 'engineering', 'trend analysis', 'box', 'security', 'material', 'segment', 'customer relationship management', 'play', 'data center', 'database', 'business', 'design', 'schedule', 'finance', 'mailchimp', 'help desk', 'project management', 'accounting', 'synchronization', 'marketing', 'medium', 'business administration', 'documentation', 'server', 'software', 'amp', 'testing', 'mechanical engineering', 'monitoring', 'spring']"
8,INFORMATION-TECHNOLOGY,"['task management', 'user interface', 'data warehouse', 'sentry', 'support', 'bootstrap', 'debugging', 'visual studio', 'application server', 'data analysis', 'system integration', 'ai', 'asp net', 'terminal', 'high availability', 'computer network', 'email marketing', 'data quality', 'security', 'material', 'play', 'database', 'knowledge base', 'data retrieval', 'eclipse', 'complex system', 'azure', 'network security', 'jquery', 'authentication', 'schedule', 'data processing', 'perl', 'library', 'encryption', 'github', 'engineering', 'scanner', 'java', 'scalability', 'wireless', 'javascript', 'sorting', 'tableau', 'npm', 'marketing', 'relay', 'braintree', 'front end', 'deployment', 'linux', 'router', 'tracking system', 'android', 'collaboration', 'throughput', 'response time', 'python', 'interaction', 'network interface', 'mode', 'project management', 'network management', 'medium', 'business administration', 'server', 'software', 'data integrity', 'testing', 'text editor', 'business process', 'crystal', 'framework', 'operating system', 'data mining', 'analytics', 'computer engineering', 'oracle', 'data model', 'enterprise system', 'performance monitoring', 'network performance', 'virtual machine', 'mysql', 'financial system', 'system testing', 'specification', 'business', 'design', 'web service', 'file system', 'finance', 'ajax', 'user profile', 'help desk', 'accounting', 'mobile', 'documentation', 'workflow', 'business intelligence', 'monitoring']"
9,ARTS,"['operating system', 'support', 'advertising', 'certificate', 'adobe illustrator', 'release', 'box', 'adobe photoshop', 'collaboration', 'material', 'computer hardware', 'interaction', 'database', 'business', 'twitter', 'accounting', 'marketing', 'medium', 'server', 'graphite', 'software', 'fusion', 'schedule', 'back office']"
10,FITNESS,"['buddy', 'queue', 'support', 'certificate', 'graphic design', 'data analysis', 'adobe illustrator', 'chrome', 'box', 'weebly', 'security', 'material', 'specification', 'segment', 'database', 'business', 'design', 'skeleton', 'monitoring', 'project management', 'accounting', 'marketing', 'medium', 'documentation', 'software', 'testing', 'schedule']"
11,HR,"['devise', 'support', 'advertising', 'certificate', 'data analysis', 'tracking system', 'github', 'workload', 'release', 'analytics', 'oracle', 'engineering', 'box', 'google', 'adobe photoshop', 'security', 'stemming', 'material', 'specification', 'interaction', 'database', 'business', 'twitter', 'design', 'schedule', 'content management', 'tableau', 'project management', 'accounting', 'marketing', 'medium', 'business administration', 'documentation', 'ambiguity', 'software', 'data integrity', 'testing', 'monitoring']"
12,DIGITAL-MEDIA,"['multimedia', 'support', 'data mining', 'deployment', 'advertising', 'graphic design', 'data analysis', 'terminal', 'release', 'analytics', 'ecommerce', 'email marketing', 'security', 'passenger', 'collaboration', 'mysql', 'material', 'wordpress', 'python', 'interaction', 'customer relationship management', 'data modeling', 'database', 'business', 'business intelligence', 'twitter', 'monitoring', 'design', 'finance', 'content management', 'javascript', 'regression analysis', 'tableau', 'accounting', 'project management', 'publishing', 'marketing', 'medium', 'data visualization', 'business administration', 'visualization', 'google analytics', 'software', 'data type', 'performance metric', 'testing', 'search engine', 'schedule', 'segmentation']"
13,PUBLIC-RELATIONS,"['multimedia', 'queue', 'operating system', 'support', 'advertising', 'certificate', 'graphic design', 'data analysis', 'library', 'release', 'workload', 'oracle', 'engineering', 'chef', 'google', 'adobe photoshop', 'email marketing', 'security', 'swift', 'material', 'specification', 'interaction', 'play', 'database', 'business', 'twitter', 'design', 'finance', 'mailchimp', 'business process', 'content management', 'project management', 'accounting', 'publishing', 'marketing', 'medium', 'computer program', 'documentation', 'google analytics', 'software', 'testing', 'business intelligence', 'schedule', 'spring']"
14,FINANCE,"['computer programming', 'support', 'certificate', 'workload', 'vault', 'oracle', 'engineering', 'security', 'collaboration', 'financial system', 'material', 'database', 'business', 'wireless', 'design', 'monitoring', 'ml', 'finance', 'business process', 'accounting', 'project management', 'marketing', 'business administration', 'documentation', 'software', 'data integrity', 'workflow', 'performance metric', 'testing', 'schedule']"
15,SALES,"['queue', 'support', 'certificate', 'data analysis', 'engineering', 'scanner', 'security', 'material', 'specification', 'segment', 'play', 'database', 'business', 'time tracking', 'design', 'project management', 'accounting', 'publishing', 'marketing', 'medium', 'documentation', 'robot', 'testing', 'mechanical engineering', 'schedule', 'back office']"
16,HEALTHCARE,"['component', 'support', 'certificate', 'commerce', 'workload', 'decision tree', 'material', 'specification', 'business', 'design', 'file system', 'schedule', 'business process', 'concept learning', 'content management', 'project management', 'accounting', 'marketing', 'medium', 'business administration', 'documentation', 'workflow', 'software', 'monitoring']"
17,ENGINEERING,"['devise', 'component', 'algorithm', 'operating system', 'support', 'visual studio', 'front end', 'deployment', 'rotation', 'certificate', 'data analysis', 'chemical engineering', 'durability', 'router', 'data science', 'graphic design', 'system integration', 'electrical engineering', 'terminal', 'process engineering', 'library', 'release', 'vault', 'oracle', 'mobile robot', 'engineering', 'enterprise system', 'fortran', 'control flow', 'security', 'collaboration', 'engineering drawing', 'construction engineering', 'material', 'system testing', 'specification', 'java', 'waste management', 'simulation', 'segment', 'pose', 'signal processing', 'python', 'database', 'business', 'manufacturing engineering', 'histogram', 'design', 'knowledge base', 'mode', 'schedule', 'game development', 'material design', 'actuator', 'diagram', 'sketch', 'project management', 'accounting', 'marketing', 'software engineering', 'mobile', 'technological change', 'server', 'documentation', 'software', 'workflow', 'amp', 'robot', 'testing', 'mechanical engineering', 'monitoring', 'spring', 'data processing']"
18,AVIATION,"['unity', 'component', 'multimedia', 'aerospace engineering', 'support', 'deployment', 'advertising', 'certificate', 'release', 'workload', 'engineering', 'box', 'scanner', 'network performance', 'aeronautics', 'security', 'collaboration', 'engineering drawing', 'material', 'specification', 'segment', 'database', 'business', 'information management', 'design', 'monitoring', 'mode', 'scaffold', 'agricultural engineering', 'access control', 'business process', 'help desk', 'project management', 'network security', 'business administration', 'visualization', 'documentation', 'server', 'visual basic', 'cataloging', 'software', 'performance metric', 'testing', 'reliability engineering', 'mechanical engineering', 'schedule', 'segmentation', 'manufacturing engineering']"
19,ADVOCATE,"['project management', 'accounting', 'publishing', 'play', 'collaboration', 'database', 'business', 'support', 'twitter', 'server', 'mode', 'workflow', 'schedule', 'software', 'finance', 'monitoring', 'material']"
20,ACCOUNTANT,"['relay', 'component', 'operating system', 'support', 'data mining', 'deployment', 'certificate', 'release', 'workload', 'self management', 'oracle', 'scanner', 'document processing', 'security', 'program analysis', 'collaboration', 'financial system', 'material', 'source document', 'compose', 'interaction', 'database', 'business', 'information management', 'monitoring', 'data retrieval', 'schedule', 'finance', 'computation', 'accounting', 'marketing', 'business administration', 'mobile', 'documentation', 'software', 'workflow', 'data type', 'performance metric', 'testing', 'business process']"
21,AUTOMOBILE,"['workload', 'marketing', 'database', 'business', 'support', 'engineering', 'wireless', 'design', 'mobile', 'documentation', 'surge', 'schedule', 'performance metric', 'security', 'collaboration', 'storm', 'specification']"
22,BPO,"['database', 'chef', 'support', 'business', 'file system', 'software', 'commerce', 'testing', 'security', 'schedule', 'material']"
23,AGRICULTURE,"['framework', 'component', 'algorithm', 'user interface', 'support', 'certificate', 'data analysis', 'mongodb', 'adobe illustrator', 'release', 'high availability', 'flask', 'computer engineering', 'google', 'tensorflow', 'collaboration', 'language model', 'material', 'python', 'database', 'question answering', 'business', 'design', 'finance', 'image processing', 'scikit learn', 'javascript', 'tableau', 'project management', 'marketing', 'medium', 'data visualization', 'software', 'testing', 'search engine', 'monitoring']"
